repository,comment_url,author,author_association,file_path,line,comment_body,matched_keywords
,https://github.com/zxing/zxing/pull/1039#discussion_r199349387,srowen,CONTRIBUTOR,core/src/main/java/com/google/zxing/oned/OneDimensionalCodeWriter.java,,Can you write a simple `checkNumeric` method here or something and then just call it in each of the subclasses? that way the invocation isn't duplicated.,subclass
,https://github.com/zxing/zxing/pull/1445#discussion_r722685515,srowen,CONTRIBUTOR,core/src/main/java/com/google/zxing/qrcode/encoder/Encoder.java,,"I just added / enforced checks for line length and indent, FWIW. It may flag some of this PR now",enforced
,https://github.com/zxing/zxing/pull/800#discussion_r115876813,dsanders11,CONTRIBUTOR,core/src/main/java/com/google/zxing/maxicode/decoder/DecodedBitStreamParser.java,,"I definitely see the benefits of the trailing commas, but I'll make two arguments against. Wall of text to follow, but I don't have a strong opinion either way.  First, most of the code does not have a trailing comma, so it is inconsistent in the codebase. There's only a few in this commit that I found, which shows that the majority of them don't have a trailing comma. Regardless of preferred style it would be nice if it was consistent.  Second, other languages often don't allow trailing commas. This may seem trivial, but I'm currently porting as much of ZXing as I can to JavaScript, and the two languages are close enough that sometimes it's just a matter of tweaking some syntax and keywords. ~Trailing commas in arrays aren't allowed in JavaScript, though, so I hit that a few times because it's easy to not see visually when porting hundreds of lines~. So I'd make the argument that it makes the code ever so slightly more accessible for porting to other languages without the trailing commas. Obviously language-specific features shouldn't be avoided for this reason, but in this case its something trivial.  Anyway, not a strong opinion, but there's my rationale. I can remove the comma relate edits if you'd still like to keep the trailing commas.",avoid
,https://github.com/iluwatar/java-design-patterns/pull/2464#discussion_r1089758611,sonatype-lift[bot],NONE,event-asynchronous/src/main/java/com/iluwatar/event/asynchronous/AsyncEvent.java,85,"<picture><img alt=""11% of developers fix this issue"" src=""https://lift.sonatype.com/api/commentimage/fixrate/11/display.svg""></picture>  *[UnnecessaryFinal](https://errorprone.info/bugpattern/UnnecessaryFinal):*  Since Java 8, it's been unnecessary to make local variables and parameters `final` for use in lambdas or anonymous classes. Marking them as `final` is weakly discouraged, as it adds a fair amount of noise for minimal benefit.  ---   ```suggestion   public final void addListener( ThreadCompleteListener listener) { ```   ---  <details><summary><b>ℹ️ Learn about @sonatype-lift commands</b></summary>  You can reply with the following commands. For example, reply with ***@sonatype-lift ignoreall*** to leave out all findings. | **Command** | **Usage** | | ------------- | ------------- | | `@sonatype-lift ignore` | Leave out the above finding from this PR | | `@sonatype-lift ignoreall` | Leave out all the existing findings from this PR | | `@sonatype-lift exclude <file\|issue\|path\|tool>` | Exclude specified `file\|issue\|path\|tool` from Lift findings by updating your config.toml file |  **Note:** When talking to LiftBot, you need to **refresh** the page to see its response. <sub>[Click here](https://github.com/apps/sonatype-lift/installations/new) to add LiftBot to another repo.</sub></details>    ---  Was this a good recommendation? [ [🙁 Not relevant](https://www.sonatype.com/lift-comment-rating?comment=375099368&lift_comment_rating=1) ] - [ [😕 Won't fix](https://www.sonatype.com/lift-comment-rating?comment=375099368&lift_comment_rating=2) ] - [ [😑 Not critical, will fix](https://www.sonatype.com/lift-comment-rating?comment=375099368&lift_comment_rating=3) ] - [ [🙂 Critical, will fix](https://www.sonatype.com/lift-comment-rating?comment=375099368&lift_comment_rating=4) ] - [ [😊 Critical, fixing now](https://www.sonatype.com/lift-comment-rating?comment=375099368&lift_comment_rating=5) ]","discouraged, discouraged"
,https://github.com/iluwatar/java-design-patterns/pull/1773#discussion_r642102950,iluwatar,OWNER,identity-map/src/main/java/com/iluwatar/identity/map/App.java,30,Add here a brief explanation of the pattern and tell how the example implements it,implements
,https://github.com/iluwatar/java-design-patterns/pull/241#discussion_r38817429,npathai,CONTRIBUTOR,dao/src/test/java/com/iluwatar/dao/CustomerTest.java,,"Suggestion: Personally I don't see any value in testing plain getters and setters. It feels like forced tests. All we can test in this class is `equals()` and `hashcode()` contract, because that's important. Do you agree @iluwatar ?",contract
,https://github.com/iluwatar/java-design-patterns/pull/2007#discussion_r979213878,iluwatar,OWNER,inheritance-mapper/src/main/java/com/iluwatar/InheritanceMapper/App.java,13,Please explain the pattern purpose shortly. Then explain how this example implements it.,implements
,https://github.com/iluwatar/java-design-patterns/pull/595#discussion_r129927460,iluwatar,OWNER,cqrs/src/main/java/com/iluwatar/cqrs/app/App.java,,Instead of `System.out.println` you should use a logging framework. Check the other patterns for examples.,should use
,https://github.com/spring-projects/spring-boot/pull/22548#discussion_r459991035,AndrewDi,CONTRIBUTOR,spring-boot-project/spring-boot-actuator-autoconfigure/src/main/java/org/springframework/boot/actuate/autoconfigure/metrics/export/prometheus/PrometheusProperties.java,,"pushgateway already support basic auth, we just need to pass auth parameters to `setConnectionFactory` function.",factory
,https://github.com/spring-projects/spring-boot/pull/19494#discussion_r362142299,onobc,CONTRIBUTOR,spring-boot-project/spring-boot-autoconfigure/src/test/java/org/springframework/boot/autoconfigure/web/reactive/ReactiveWebServerFactoryAutoConfigurationTests.java,71,At what level of update to a file are we supposed to add our name as `@author`? I am really not trying to splat my name on every single file - just not sure what the recommended theshold is.,recommended
,https://github.com/spring-projects/spring-boot/pull/15778#discussion_r250617394,ayudovin,CONTRIBUTOR,spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/servlet/JspTemplateAvailabilityProvider.java,,"in this case, Does it make sense to add `private final Log logger = LogFactory.getLog(JspTemplateAvailabilityProvider.class);` and log exception in catch ?",factory
,https://github.com/dbeaver/dbeaver/pull/16272#discussion_r873107804,ShadelessFox,MEMBER,plugins/org.jkiss.dbeaver.erd.ui/src/org/jkiss/dbeaver/erd/ui/router/MikamiTabuchiConnectionRouter.java,274,Where are the `@Override` annotations?,override
,https://github.com/dbeaver/dbeaver/pull/13449#discussion_r689291597,LuckyLeoZZ,CONTRIBUTOR,plugins/org.jkiss.dbeaver.ext.oceanbase/src/org/jkiss/dbeaver/ext/oceanbase/mysql/model/OceanbaseMySQLView.java,64,"Thanks, I've overrided this method.",override
,https://github.com/dbeaver/dbeaver/pull/19687#discussion_r1164189070,ShadelessFox,MEMBER,plugins/org.jkiss.dbeaver.ext.clickhouse/src/org/jkiss/dbeaver/ext/clickhouse/model/ClickhouseCatalog.java,,"```suggestion public class ClickhouseCatalog extends GenericCatalog implements DBPObjectStatisticsCollector, DBPSystemObject { ```","extends, implements"
