repository,comment_url,author,author_association,file_path,line,comment_body,matched_keywords,owner,repo,comment_id,comment_year,generated_test,syntactic_validity,correct_archunit_usage,semantic_alignment_score,violation_detection_potential,test_execution_success,evaluation_explanation,is_obsolete,is_rule_clear,test_generation_possible,mutation_test_result,is_design_rule,auto_manual_agreement_syntactic_validity,auto_manual_agreement_correct_archunit_usage,auto_manual_agreement_semantic_alignment_score,auto_manual_agreement_violation_detection_potential
apache/jackrabbit-oak,https://github.com/apache/jackrabbit-oak/pull/399#discussion_r736497317,fabriziofortino,CONTRIBUTOR,oak-search-elastic/src/main/java/org/apache/jackrabbit/oak/plugins/index/elastic/index/ElasticIndexWriter.java,135.0,"""The `indexName` depends on the `reindex` flag: it's the full name on reindex operations or the alias during incremental indexing. I can see this is not clear. The problem lays in the classes' design: the index provisioning logic is spread across 3 different classes (`ElasticIndexWriter`, `ElasticIndexWriterFactory`, `ElasticIndexEditorContext`) making it quite ununderstandable. I have taken the opportunity to refactor it with the intent of making it more understandable: all these parts (create seed, provision index, enable index) have been moved to `ElasticIndexWriter`. Please let me know if it makes more sense now.""",factory,apache,jackrabbit-oak,736497317.0,2021.0,"```java
import com.tngtech.archunit.core.domain.JavaClasses;
import com.tngtech.archunit.core.importer.ClassFileImporter;
import com.tngtech.archunit.lang.ArchRule;
import org.junit.Test;

import static com.tngtech.archunit.lang.syntax.ArchRuleDefinition.classes;

public class ElasticIndexWriterArchitectureTest {

    @Test
    public void indexProvisioningLogicShouldBeCentralized() {
        JavaClasses importedClasses = new ClassFileImporter()
                .importPackages(""org.apache.jackrabbit.oak.plugins.index.elastic.index"");

        ArchRule rule = classes()
                .that().haveSimpleName(""ElasticIndexWriter"")
                .should().onlyDependOnClassesThat()
                .haveSimpleName(""ElasticIndexWriter"")
                .orShould().onlyDependOnClassesThat()
                .haveSimpleName(""ElasticIndexWriterFactory"")
                .orShould().onlyDependOnClassesThat()
                .haveSimpleName(""ElasticIndexEditorContext"");

        rule.check(importedClasses);
    }
}
```",True,TRUE,0.0,0,FALSE,"Está parcialmente alinhado com a regra por verificar dependências entre as classes citadas no comentário, mas faz isso de um jeito muito errado. O teste nem passa ",False,True,,,,True,False,True,True
apache/jackrabbit-oak,https://github.com/apache/jackrabbit-oak/pull/419#discussion_r752005948,anchela,CONTRIBUTOR,oak-core/src/main/java/org/apache/jackrabbit/oak/query/QueryInformationLogger.java,22.0,"""as far as i can see the QueryInformationLogger only has static methods and static fields.
 so, it's a utility right? IMHO it should in this case come with a private constructor that avoids having instances created.""",avoid,apache,jackrabbit-oak,752005948.0,2021.0,"```java
import com.tngtech.archunit.core.domain.JavaClasses;
import com.tngtech.archunit.core.importer.ClassFileImporter;
import com.tngtech.archunit.lang.ArchRule;
import org.junit.Test;

import static com.tngtech.archunit.lang.syntax.ArchRuleDefinition.classes;

public class QueryInformationLoggerArchitectureTest {

    @Test
    public void queryInformationLoggerShouldHavePrivateConstructor() {
        JavaClasses importedClasses = new ClassFileImporter()
                .importPackages(""org.apache.jackrabbit.oak.query"");

        ArchRule rule = classes()
                .that().haveSimpleName(""QueryInformationLogger"")
                .should().haveOnlyPrivateConstructors();

        rule.check(importedClasses);
    }
}
```",True,TRUE,2.0,--,FALSE,"Tudo certo, os testes só falharam porque a classe em questão não existe mais, mas detectaria a violação. Fiz o teste com uma classe que tem construtores publicos e o teste falhou",True,True,,,,True,True,True,False
apache/jackrabbit-oak,https://github.com/apache/jackrabbit-oak/pull/485#discussion_r804791005,joerghoh,CONTRIBUTOR,oak-lucene/src/test/java/org/apache/jackrabbit/oak/composite/blueGreen/IndexUtils.java,145.0,"""Won't change it here. This test is not responsible to test the implementation of the JCR, so it should just rely on the API contract.""",contract,apache,jackrabbit-oak,804791005.0,2022.0,"```java
import com.tngtech.archunit.core.domain.JavaClasses;
import com.tngtech.archunit.core.importer.ClassFileImporter;
import com.tngtech.archunit.lang.ArchRule;
import org.junit.Test;

import static com.tngtech.archunit.lang.syntax.ArchRuleDefinition.classes;

public class IndexUtilsTest {

    @Test
    public void testShouldOnlyDependOnPublicAPI() {
        JavaClasses importedClasses = new ClassFileImporter()
                .importPackages(""org.apache.jackrabbit.oak.composite.blueGreen"");

        ArchRule rule = classes()
                .that().resideInAPackage(""..blueGreen.."")
                .should().onlyDependOnClassesThat().areAnnotatedWith(""org.apache.jackrabbit.oak.api.PublicAPI"");

        rule.check(importedClasses);
    }
}
```",True,TRUE,1.0,0,FALSE,A regra fala sobre a dependencia de uma classe de teste e o codigo verifica a dependencia de todas as classes do pacote do src com uma anotação,False,True,,,,True,True,True,False
apache/jackrabbit-oak,https://github.com/apache/jackrabbit-oak/pull/535#discussion_r861844755,adamcin,CONTRIBUTOR,oak-api/src/main/java/org/apache/jackrabbit/oak/api/QueryEngine.java,110.0,"""Just a drive-by comment here, but instead of `Optional<Long>`, could you define a `Limit` type to serve as the wrapper for the limit long, and an `Offset` type to serve as the wrapper for the offset long? Then you would also eliminate the potential for callers accidentally reversing the order of the arguments.
 
 Give both types factory methods like `.of(long)` and `.none()` and an instance method `Optional<Long> toOptional()`, or `boolean isPresent()` and `long getValue()`.""",factory,apache,jackrabbit-oak,861844755.0,2022.0,"```java
import com.tngtech.archunit.core.domain.JavaClasses;
import com.tngtech.archunit.core.importer.ClassFileImporter;
import com.tngtech.archunit.lang.ArchRule;
import org.junit.Test;

import static com.tngtech.archunit.lang.syntax.ArchRuleDefinition.classes;

public class QueryEngineArchitectureTest {

    @Test
    public void queryEngineShouldUseLimitAndOffsetTypes() {
        JavaClasses importedClasses = new ClassFileImporter()
                .importPackages(""org.apache.jackrabbit.oak.api"");

        ArchRule rule = classes()
                .that().resideInAPackage(""..oak.api.."")
                .and().haveNameMatching("".*QueryEngine.*"")
                .should().onlyHaveDependentClassesThat()
                .haveNameMatching("".*(Limit|Offset).*"");

        rule.check(importedClasses);
    }
}
```",True,TRUE,1.0,0,FALSE,"Detectaria uma violação mas é porque está muito restritivo. Verifica se a classe tem apenas os dependentes Offset e Limit, mas a classe pode ter outros dependentes sem quebrar a regra",False,True,,,,True,False,False,True
apache/jackrabbit-oak,https://github.com/apache/jackrabbit-oak/pull/560#discussion_r873780640,stefan-egli,CONTRIBUTOR,oak-store-document/src/main/java/org/apache/jackrabbit/oak/plugins/document/util/Utils.java,,"""Was thinking about this a bit. Currently you're moving it to `DocumentStore` as that's where there's now a new `getNodeNameLimit`. But actually there's also (test) code that still refers to the static field. So in light of reducing the number of changes of this PR even further, but also not change if it's really necessary, what do you think about leaving `NODE_NAME_LIMIT` in here in Utils - and have `DocumentStore.getNodeNameLimit` refer to this one? It would reduce the diff and separate one concern: keep the static field here as the 'hardcoded default' vs allow subclasses of `DocumentStore` overwriting it (without necessarily also keeping this field there)""",subclass,apache,jackrabbit-oak,873780640.0,2022.0,"```java
import com.tngtech.archunit.core.domain.JavaClasses;
import com.tngtech.archunit.core.importer.ClassFileImporter;
import com.tngtech.archunit.lang.ArchRule;
import org.junit.Test;

import static com.tngtech.archunit.lang.syntax.ArchRuleDefinition.classes;

public class NodeNameLimitArchitectureTest {

    @Test
    public void documentStoreShouldDelegateToUtilsForNodeNameLimit() {
        JavaClasses importedClasses = new ClassFileImporter()
                .importPackages(""org.apache.jackrabbit.oak.plugins.document"");

        ArchRule rule = classes()
                .that().resideInAPackage(""..document.."")
                .and().haveSimpleName(""DocumentStore"")
                .should().accessFieldsThat()
                .areDeclaredIn(""org.apache.jackrabbit.oak.plugins.document.util.Utils"")
                .and().haveName(""NODE_NAME_LIMIT"");

        rule.check(importedClasses);
    }
}
```",True,FALSE,1.0,0,FALSE,"Está parcialmente alinhado com o que a regra diz, mas inventou um método do ArchUnit (.accessFieldsThat())",False,True,,,,True,False,True,False
apache/jackrabbit-oak,https://github.com/apache/jackrabbit-oak/pull/560#discussion_r873914768,stefan-egli,CONTRIBUTOR,oak-store-document/src/main/java/org/apache/jackrabbit/oak/plugins/document/DocumentNodeState.java,,"""Actually I still think this does not cover all cases, now that `Utils.getIdFromPath` doesn't do the check anymore.
 
 What about moving the check to `UpdateOp` 's constructor, where it initializes the `id`?
 
 Any add/modify write to DocumentStore goes through an `UpdateOp` - so if you can avoid creating a faulty (too-long node-name) `UpdateOp` you'd be fine. 
 Alternatively it could be done in the DocumentStore's implementations - but that would multiply the changes again and perhaps open doors for missing it in some. So `UpdateOp` sounds like a central piece where this could be applied.
 
 Wdyt?""",avoid,apache,jackrabbit-oak,873914768.0,2022.0,"```java
import com.tngtech.archunit.core.domain.JavaClasses;
import com.tngtech.archunit.core.importer.ClassFileImporter;
import com.tngtech.archunit.lang.ArchRule;
import org.junit.Test;

import static com.tngtech.archunit.lang.syntax.ArchRuleDefinition.classes;

public class UpdateOpArchitectureTest {

    @Test
    public void updateOpShouldInitializeId() {
        JavaClasses importedClasses = new ClassFileImporter()
                .importPackages(""org.apache.jackrabbit.oak.plugins.document"");

        ArchRule rule = classes()
                .that().haveNameMatching("".*UpdateOp"")
                .should().haveRawConstructorParameters(""id"");

        rule.check(importedClasses);
    }
}
```",True,FALSE,0.0,0,FALSE,"Não está muito de acordo com a regra, mas a regra também não é clara (que check seria pra mover?) ",False,False,,,,True,False,True,True
apache/jackrabbit-oak,https://github.com/apache/jackrabbit-oak/pull/635#discussion_r927443966,mreutegg,CONTRIBUTOR,oak-store-document/src/main/java/org/apache/jackrabbit/oak/plugins/document/mongo/MongoDocumentStoreThrottling.java,,"""The executor service should be shutdown when not used anymore. I think this means `MongoDocumentStoreThrottling` should implement `Closeable` and shutdown the executor in `close()`.""",should implement,apache,jackrabbit-oak,927443966.0,2022.0,"```java
import com.tngtech.archunit.core.domain.JavaClasses;
import com.tngtech.archunit.core.importer.ClassFileImporter;
import com.tngtech.archunit.lang.ArchRule;
import org.junit.Test;

import static com.tngtech.archunit.lang.syntax.ArchRuleDefinition.classes;

public class MongoDocumentStoreThrottlingArchitectureTest {

    @Test
    public void mongoDocumentStoreThrottlingShouldImplementCloseable() {
        JavaClasses importedClasses = new ClassFileImporter()
                .importPackages(""org.apache.jackrabbit.oak.plugins.document.mongo"");

        ArchRule rule = classes()
                .that().haveSimpleName(""MongoDocumentStoreThrottling"")
                .should().implement(""java.io.Closeable"");

        rule.check(importedClasses);
    }
}
```",True,TRUE,2.0,--,FALSE,"Tudo certo, os testes só falharam porque a classe em questão não existe mais, mas detectaria a violação.",True,True,,,,True,True,True,False
apache/jackrabbit-oak,https://github.com/apache/jackrabbit-oak/pull/635#discussion_r929129541,stefan-egli,CONTRIBUTOR,oak-store-document/src/main/java/org/apache/jackrabbit/oak/plugins/document/ThrottlingMetrics.java,,"""I was wondering if this class could be split along the different concerns it seems to currently combine: config (threshold/throttlingTime) and metric (currValue).
 
 What came to mind as an alternative would be something like
 ```
 public interface Throttler {
   long throttlingTime();
 }
 ```
 that could replace the `ThrottlingMetrics`.
 
 then you could move the actual algorithm that calculates the throttling time into eg a `ExponentialThrottler` that works based on an AtomicLong (for value updates) and thresholds (these 2 would move here from the current `ThrottlingMetrics`) - and similarly we could come up with different such algorithms for Throttler implementations (which could mean perhaps an interface as its input...)
 
 and `MongoThrottlingMetrics` might either not be needed anymore or become the factory that creates an `ExponentialThrottler` with the correct inputs, taken from oplog metric etc.
 
 This way essentially the `metrics` part is hidden from the throttling logic and become a factory/implementation detail.""","interface, factory",apache,jackrabbit-oak,929129541.0,2022.0,"```java
import com.tngtech.archunit.core.domain.JavaClasses;
import com.tngtech.archunit.core.importer.ClassFileImporter;
import com.tngtech.archunit.lang.ArchRule;
import org.junit.Test;

import static com.tngtech.archunit.lang.syntax.ArchRuleDefinition.classes;

public class ThrottlingArchitectureTest {

    @Test
    public void throttlingClassesShouldFollowDesign() {
        JavaClasses importedClasses = new ClassFileImporter()
                .importPackages(""org.apache.jackrabbit.oak.plugins.document"");

        ArchRule rule = classes()
                .that().haveSimpleName(""Throttler"")
                .should().beInterfaces()
                .andShould().haveOnlyMethodsThat().haveName(""throttlingTime"");

        rule.check(importedClasses);
    }
}
```",True,FALSE,1.0,0,FALSE,"Até que faz sentido, mas inventou um método do archunit",False,True,,,,True,False,True,False
apache/jackrabbit-oak,https://github.com/apache/jackrabbit-oak/pull/644#discussion_r945509902,nfsantos,CONTRIBUTOR,oak-search-elastic/src/test/java/org/apache/jackrabbit/oak/plugins/index/elastic/ElasticIndexAndTraversalQueriesSimilarResultsCommonTest.java,,"""I moved these lists to the base class to remove duplication. In the future, I expect that they may be different, but then we can move the lists to the derived classes. For the time being, I agree it's better to avoid duplication.""","avoid, base class",apache,jackrabbit-oak,945509902.0,2022.0,"```java
import com.tngtech.archunit.core.domain.JavaClasses;
import com.tngtech.archunit.core.importer.ClassFileImporter;
import com.tngtech.archunit.lang.ArchRule;
import org.junit.Test;

import static com.tngtech.archunit.lang.syntax.ArchRuleDefinition.classes;

public class ElasticIndexTest {

    @Test
    public void listsShouldBeMovedToBaseClass() {
        JavaClasses importedClasses = new ClassFileImporter()
                .importPackages(""org.apache.jackrabbit.oak.plugins.index.elastic"");

        ArchRule rule = classes()
                .that().haveSimpleNameEndingWith(""Test"")
                .should().accessFieldsThat().areDeclaredInClassesThat().haveSimpleName(""ElasticIndexAndTraversalQueriesSimilarResultsCommonTest"");

        rule.check(importedClasses);
    }
}
```",True,FALSE,0.0,0,FALSE,"Não tem muito a ver com o que a regra diz. Fala sobre mover uns campos de uma classe para a classe base e o teste verifica se todas as classes de teste do pacote usam os fields da classe que ele tirou as listas (talvez fizesse sentido se a ElasticIndexAndTraversalQueriesSimilarResultsCommonTest fosse a classe base, mas não é).",False,False,,,,True,True,True,True
apache/jackrabbit-oak,https://github.com/apache/jackrabbit-oak/pull/692#discussion_r994432110,jelmini,CONTRIBUTOR,oak-segment-tar/src/main/java/org/apache/jackrabbit/oak/segment/DefaultSegmentWriterBuilder.java,116.0,"""This is changing the signature of a public method in a public class. If some third-party implemented a custom store using this class, then this change could break their code.
 I suggest adding an override with the previous signature, setting a default value:
 ```java
 public DefaultSegmentWriterBuilder withWriterPool() {
         this.poolType = PoolType.GLOBAL;
         return this;
 }
 ```""",override,apache,jackrabbit-oak,994432110.0,2022.0,"```java
import com.tngtech.archunit.core.domain.JavaClasses;
import com.tngtech.archunit.core.importer.ClassFileImporter;
import com.tngtech.archunit.lang.ArchRule;
import org.junit.Test;

import static com.tngtech.archunit.lang.syntax.ArchRuleDefinition.methods;

public class DefaultSegmentWriterBuilderTest {

    @Test
    public void shouldHaveOverloadedMethodWithWriterPool() {
        JavaClasses importedClasses = new ClassFileImporter()
                .importPackages(""org.apache.jackrabbit.oak.segment"");

        ArchRule rule = methods()
                .that().areDeclaredInClassesThat().haveSimpleName(""DefaultSegmentWriterBuilder"")
                .and().haveName(""withWriterPool"")
                .and().haveRawParameterTypes()
                .should().beDeclaredInClassesThat().haveSimpleName(""DefaultSegmentWriterBuilder"");

        rule.check(importedClasses);
    }
}
```",True,FALSE,0.0,0,FALSE,Não está de acordo com a regra. A regra diz para manter a assinatura antiga do método e ele verifica se o método declarado na classe X e de nome Y deve estar declarado na classe X. Não faz muito sentido,False,True,,,,True,True,True,True
